Year,Publication ID,Report type,Lancet Series,Report Title,Author ,Institution ,Department,"Institution type (academic, NGO, professional society, international organisation, medical) ",Country ,Continent ,REFERENCE LIST
2000,100,Strategy ,No,Global Strategy for the Prevention and Control of Noncommunicable Diseases.,Anonymous,World Health Organisation,,International Organisation,Switzerland,Europe,https://apps.who.int/gb/archive/pdf_files/WHA53/ea14.pdf?ua=1
2001,101,Report ,No,NCD Country Capacity Survey,Ala Alwan,World Health Organisation,WHO Non-communicable Diseases and Mental Health Cluster,International Organisation,Switzerland,Europe,https://www.who.int/ncds/surveillance/ncd-capacity/CCS_2001.pdf?ua=1
2001,101,Report ,No,NCD Country Capacity Survey,David Maclean,World Health Organisation,WHO Non-communicable Diseases and Mental Health Cluster,International Organisation,Switzerland,Europe,
2001,101,Report ,No,NCD Country Capacity Survey,Ahmed Mandil,World Health Organisation,WHO Non-communicable Diseases and Mental Health Cluster,International Organisation,Switzerland,Europe,
2002,102,Proceedings,No,Proceedings of the Global Forum on Noncommunicable Disease Prevention and Control ,Pekka Puska,World Health Organisation,WHO Department of Noncommunicable Disease Prevention and Health Promotion,International Organisation,Switzerland,Europe,https://apps.who.int/iris/bitstream/handle/10665/67289/WHO_NPH_02.5.pdf?sequence=1&isAllowed=y
2002,102,Proceedings,No,Proceedings of the Global Forum on Noncommunicable Disease Prevention and Control ,Rafael Bengoa,World Health Organisation,WHO Department of Management of Noncommunicable Diseases,International Organisation,Switzerland,Europe,
2002,102,Proceedings,No,Proceedings of the Global Forum on Noncommunicable Disease Prevention and Control ,Ruth Bonita,World Health Organisation,WHO CCS,International Organisation,Switzerland,Europe,
2002,103,Report ,No,"The world health report: reducing risks, promoting healthy life. ",Christopher Murray,World Health Organisation,,International Organisation,Switzerland,Europe,https://www.who.int/whr/2002/en/whr02_en.pdf?ua=1
2002,103,Report ,No,"The world health report: reducing risks, promoting healthy life. ",Alan Lopez,World Health Organisation,,International Organisation,Switzerland,Europe,
2002,103,Report ,No,"The world health report: reducing risks, promoting healthy life. ",Anthony Rogers,World Health Organisation,,International Organisation,Switzerland,Europe,
2002,103,Report ,No,"The world health report: reducing risks, promoting healthy life. ",Patrick Vaughn ,World Health Organisation,,International Organisation,Switzerland,Europe,
