Continent5,Continent6,Country,Colour5,Colour6,Cont5Colour,Cont6Colour,Top10
Africa,Africa,Algeria,#A34F06,,#7F3B08,#7F3B08,
Africa,Africa,Angola,#C96C0C,,#7F3B08,#7F3B08,
Africa,Africa,Benin,#EA952F,,#7F3B08,#7F3B08,
Africa,Africa,Botswana,#FDC37B,,#7F3B08,#7F3B08,
Africa,Africa,Burkina Faso,#BE6209,,#7F3B08,#7F3B08,
Africa,Africa,Burundi,#E79029,,#7F3B08,#7F3B08,
Africa,Africa,Cameroon,#BA5F08,,#7F3B08,#7F3B08,
Africa,Africa,Central African Republic,#F5AA4E,,#7F3B08,#7F3B08,
Africa,Africa,Chad,#DE8013,,#7F3B08,#7F3B08,
Africa,Africa,Comoros,#FDD6A2,,#7F3B08,#7F3B08,
Africa,Africa,"Congo, Dem. Rep.",#8B4107,,#7F3B08,#7F3B08,
Africa,Africa,"Congo, Rep.",#F7AE55,,#7F3B08,#7F3B08,
Africa,Africa,Cote d'Ivoire,#B75C07,,#7F3B08,#7F3B08,
Africa,Africa,Djibouti,#FDDCAF,,#7F3B08,#7F3B08,
Africa,Africa,Egypt,#833D07,,#7F3B08,#7F3B08,
Africa,Africa,Equatorial Guinea,#FDD9A8,,#7F3B08,#7F3B08,
Africa,Africa,Eritrea,#F3A548,,#7F3B08,#7F3B08,
Africa,Africa,Ethiopia,#873F07,,#7F3B08,#7F3B08,
Africa,Africa,Gabon,#FDCA88,,#7F3B08,#7F3B08,
Africa,Africa,Gambia,#FDC074,,#7F3B08,#7F3B08,
Africa,Africa,Ghana,#AB5406,,#7F3B08,#7F3B08,
Africa,Africa,Guinea,#E18417,,#7F3B08,#7F3B08,
Africa,Africa,Guinea-Bissau,#FDC681,,#7F3B08,#7F3B08,
Africa,Africa,Kenya,#9B4A06,,#7F3B08,#7F3B08,
Africa,Africa,Lesotho,#FDBD6E,,#7F3B08,#7F3B08,
Africa,Africa,Liberia,#FCB661,,#7F3B08,#7F3B08,
Africa,Africa,Libya,#EE9D3C,,#7F3B08,#7F3B08,
Africa,Africa,Madagascar,#B35806,,#7F3B08,#7F3B08,
Africa,Africa,Malawi,#C2650A,,#7F3B08,#7F3B08,
Africa,Africa,Mali,#D37610,,#7F3B08,#7F3B08,
Africa,Africa,Mauritania,#FAB25B,,#7F3B08,#7F3B08,
Africa,Africa,Mauritius,#FDCD8E,,#7F3B08,#7F3B08,
Africa,Africa,Morocco,#9F4D06,,#7F3B08,#7F3B08,
Africa,Africa,Mozambique,#AF5606,,#7F3B08,#7F3B08,
Africa,Africa,Namibia,#FDBA67,,#7F3B08,#7F3B08,
Africa,Africa,Niger,#C5690B,,#7F3B08,#7F3B08,
Africa,Africa,Nigeria,#7F3B08,,#7F3B08,#7F3B08,
Africa,Africa,Reunion,#FDD39B,,#7F3B08,#7F3B08,
Africa,Africa,Rwanda,#E58C23,,#7F3B08,#7F3B08,
Africa,Africa,Sao Tome and Principe,#FEE0B6,,#7F3B08,#7F3B08,
Africa,Africa,Senegal,#D0730F,,#7F3B08,#7F3B08,
Africa,Africa,Sierra Leone,#EC9936,,#7F3B08,#7F3B08,
Africa,Africa,Somalia,#E3881D,,#7F3B08,#7F3B08,
Africa,Africa,South Africa,#8F4407,,#7F3B08,#7F3B08,
Africa,Africa,Sudan,#934607,,#7F3B08,#7F3B08,
Africa,Africa,Swaziland,#FDD095,,#7F3B08,#7F3B08,
Africa,Africa,Tanzania,#974807,,#7F3B08,#7F3B08,
Africa,Africa,Togo,#F1A142,,#7F3B08,#7F3B08,
Africa,Africa,Tunisia,#DA7D12,,#7F3B08,#7F3B08,
Africa,Africa,Uganda,#A75106,,#7F3B08,#7F3B08,
Africa,Africa,Zambia,#D77911,,#7F3B08,#7F3B08,
Africa,Africa,Zimbabwe,#CC6F0D,,#7F3B08,#7F3B08,
Americas,South America,Argentina,#C62026,,#A50026,#313695,
Americas,North America,Barbados,#C83737,,#A50026,#A50026,
Americas,South America,Bolivia,#F57748,,#A50026,#313695,
Americas,South America,Brazil,#AD0826,,#A50026,#313695,#313695
Americas,North America,Canada,#CE2726,,#A50026,#A50026,
Americas,South America,Chile,#E04430,,#A50026,#313695,
Americas,South America,Colombia,#BE1826,,#A50026,#313695,
Americas,North America,Costa Rica,#FDB668,,#A50026,#A50026,
Americas,North America,Cuba,#EF623E,,#A50026,#A50026,
Americas,North America,Dominican Republic,#F46D43,,#A50026,#A50026,
Americas,South America,Ecuador,#E54E35,,#A50026,#313695,
Americas,North America,El Salvador,#FA9856,,#A50026,#A50026,
Americas,North America,Guatemala,#EA5839,,#A50026,#A50026,
Americas,North America,Haiti,#F7824D,,#A50026,#A50026,
Americas,North America,Honduras,#F88D51,,#A50026,#A50026,
Americas,North America,Jamaica,#FDD788,,#A50026,#A50026,
Americas,North America,Mexico,#B51026,,#A50026,#A50026,#f40026
Americas,North America,Nicaragua,#FDAE61,,#A50026,#A50026,
Americas,North America,Panama,#FDCF80,,#A50026,#A50026,
Americas,South America,Paraguay,#FBA35B,,#A50026,#313695,
Americas,South America,Peru,#D73027,#2f6ff1f0,#A50026,#313695,
Americas,North America,Puerto Rico,#FDBE70,,#A50026,#A50026,
Americas,North America,St Kitts and Nevis,#D35F5F,,#A50026,#A50026,
Americas,North America,Trinidad and Tobago,#FEE090,,#A50026,#A50026,
Americas,North America,USA,#A50026,,#A50026,#A50026,#A50026
Americas,South America,Uruguay,#FDC778,#313695,#A50026,#313695,
Americas,South America,Venezuela,#DB3A2B,#4575B4,#A50026,#313695,
Asia,Asia,Afghanistan,#874D96,,#40004B,#40004B,
Asia,Asia,Bahrain,#E7D4E8,,#40004B,#40004B,
Asia,Asia,Bangladesh,#5B1567,,#40004B,#40004B,
Asia,Asia,Cambodia,#B797C6,,#40004B,#40004B,
Asia,Asia,China,#40004B,,#40004B,#40004B,#40004B
Asia,Asia,"Hong Kong, China",#BC9ECA,,#40004B,#40004B,
Asia,Asia,India,#460552,,#40004B,#40004B,#4000FC
Asia,Asia,Indonesia,#4D0A59,,#40004B,#40004B,
Asia,Asia,Iran,#762A83,,#40004B,#40004B,
Asia,Asia,Iraq,#9467A5,,#40004B,#40004B,
Asia,Asia,Israel,#C2A5CF,,#40004B,#40004B,
Asia,Asia,Japan,#611A6D,,#40004B,#40004B,
Asia,Asia,Jordan,#C6AAD2,,#40004B,#40004B,
